dataset,method,window,subject,classes,samples,accuracy,c0,c1,c_ba,ba_converged,i_uniform,itr_c1_bpm,itr_ba_bpm,itr_mi_bpm
JBHI35,EEG_TDCA,0.2,S06,35,210,0.2619047619047619,5.129283016944966,0.5446438167434176,3.18332090306384,True,2.828160785472314,46.68375572086437,272.85607740547204,242.41378161191264
JBHI35,EEG_TDCA,0.4,S01,35,210,0.5904761904761905,5.129283016944966,2.0695961042541953,3.8791017450995864,True,3.6345983475869517,137.97307361694635,258.6067830066391,242.3065565057968
JBHI35,EEG_TDCA,0.4,S03,35,210,0.5238095238095238,5.129283016944966,1.708317991374802,3.823012208764145,True,3.567657018811599,113.88786609165346,254.86748058427634,237.8438012541066
JBHI35,EEG_TDCA,0.4,S04,35,210,0.7666666666666667,5.129283016944966,3.158431406501853,4.435945502770383,True,4.2436039946290025,210.5620937667902,295.7297001846922,282.90693297526684
JBHI35,EEG_TDCA,0.4,S05,35,210,0.08571428571428572,5.129283016944966,0.055887902347216745,2.708277650784323,True,2.459807650598891,3.7258601564811165,180.55184338562157,163.98717670659272
JBHI35,EEG_TDCA,0.4,S06,35,210,0.3761904761904762,5.129283016944966,1.0003682616769511,3.4267812843338903,True,3.0699163102166063,66.69121744513008,228.45208562225937,204.66108734777376
JBHI35,EEG_TDCA,0.6,S01,35,210,0.638095238095238,5.129283016944966,2.343853054555168,4.194386855725243,True,3.8361345943158467,127.84653024846371,228.78473758501323,209.2437051445007
JBHI35,EEG_TDCA,0.6,S03,35,210,0.5476190476190477,5.129283016944966,1.8343644932372296,3.881904167707193,True,3.6363553905863784,100.05624508566706,211.74022732948325,198.3466576683479
JBHI35,EEG_TDCA,0.6,S04,35,210,0.8285714285714286,5.129283016944966,3.596184194729272,4.638895838948212,True,4.449725790621599,196.15550153068753,253.0306821244479,242.71231585208722
JBHI35,EEG_TDCA,0.6,S05,35,210,0.12380952380952381,5.129283016944966,0.13148354592692169,2.8485033441421583,True,2.603582299541778,7.171829777832091,155.37290968048134,142.01357997500605
JBHI35,EEG_TDCA,0.6,S06,35,210,0.44761904761904764,5.129283016944966,1.3269968226476863,3.6756611191445088,True,3.299901274017934,72.38164487169198,200.49060649879138,179.99461494643273
JBHI35,EEG_TDCA,0.8,S01,35,210,0.6952380952380952,5.129283016944966,2.691783993357228,4.297103321980317,True,4.032471200491163,124.23618430879515,198.32784562986078,186.11405540728447
JBHI35,EEG_TDCA,0.8,S03,35,210,0.6142857142857143,5.129283016944966,2.2049978613834957,4.005895297191231,True,3.8185836500565196,101.76913206385365,184.8874752549799,176.2423223103009
JBHI35,EEG_TDCA,0.8,S04,35,210,0.8714285714285714,5.129283016944966,3.921673386186626,4.785228265221477,True,4.615121096126567,181.00031013169044,220.85668916406817,213.00558905199543
JBHI35,EEG_TDCA,0.8,S05,35,210,0.12857142857142856,5.129283016944966,0.14241527554351663,2.8112787079015695,True,2.5976994378677696,6.573012717393075,129.75132498007244,119.89382020928167
JBHI35,EEG_TDCA,0.8,S06,35,210,0.5190476190476191,5.129283016944966,1.6835027573375672,3.72544209798385,True,3.4433243428296203,77.70012726173387,171.94348144540845,158.9226619767517
JBHI35,EEG_TDCA,1.0,S01,35,210,0.7380952380952381,5.129283016944966,2.96724516971977,4.404517704677134,True,4.18371671929073,118.6898067887908,176.18070818708534,167.34866877162918
JBHI35,EEG_TDCA,1.0,S03,35,210,0.6190476190476191,5.129283016944966,2.232490051586753,3.9706587286191946,True,3.767955390791046,89.29960206347012,158.8263491447678,150.71821563164184
JBHI35,EEG_TDCA,1.0,S04,35,210,0.8571428571428571,5.129283016944966,3.810829832469733,4.731805576407542,True,4.590185345554848,152.43319329878932,189.27222305630167,183.6074138221939
JBHI35,EEG_TDCA,1.0,S05,35,210,0.18095238095238095,5.129283016944966,0.28025261653864675,2.9493552964959924,True,2.6033511648503582,11.21010466154587,117.9742118598397,104.13404659401434
JBHI35,EEG_TDCA,1.0,S06,35,210,0.6047619047619047,5.129283016944966,2.15042708117447,3.849590581031713,True,3.618342603906126,86.0170832469788,153.98362324126853,144.73370415624504
JBHI35,EEG_TDCA,1.2,S01,35,210,0.7714285714285715,5.129283016944966,3.19092170938317,4.506031065885707,True,4.294444577430786,112.62076621352365,159.036390560672,151.568632144616
JBHI35,EEG_TDCA,1.2,S03,35,210,0.6714285714285714,5.129283016944966,2.5442279381343202,4.24811432203502,True,3.9765847854806844,89.7962801694466,149.93344666005956,140.35005125225945
JBHI35,EEG_TDCA,1.2,S04,35,210,0.8809523809523809,5.129283016944966,3.9970156131294496,4.780421426741574,True,4.659950813873516,141.07113928692175,168.72075623793793,164.4688522543594
JBHI35,EEG_TDCA,1.2,S05,35,210,0.1619047619047619,5.129283016944966,0.22665769652939627,2.878307119352595,True,2.6652685898526456,7.999683406919869,101.58731009479747,94.06830317126985
JBHI35,EEG_TDCA,1.2,S06,35,210,0.6095238095238096,5.129283016944966,2.17764374402244,3.9522809067281752,True,3.688706646196983,76.85801449490965,139.49226729628856,130.18964633636412
JBHI35,EEG_TDCA,1.4,S01,35,210,0.8142857142857143,5.129283016944966,3.492049002956715,4.552452956099205,True,4.396625276608061,110.27523167231733,143.76167229786964,138.84079820867564
JBHI35,EEG_TDCA,1.4,S03,35,210,0.680952380952381,5.129283016944966,2.6027973400226903,4.258380686175108,True,4.004095173449619,82.19360021124285,134.47517956342446,126.44511074051428
JBHI35,EEG_TDCA,1.4,S04,35,210,0.8904761904761904,5.129283016944966,4.0736067547052315,4.822663092340927,True,4.705944740963409,128.640213306481,152.29462396866086,148.60878129358136
JBHI35,EEG_TDCA,1.4,S05,35,210,0.1619047619047619,5.129283016944966,0.22665769652939627,2.9038007516714113,True,2.7113790845360364,7.157611469349356,91.698971105413,85.62249740640115
JBHI35,EEG_TDCA,1.4,S06,35,210,0.6142857142857143,5.129283016944966,2.2049978613834957,3.9805760087416533,True,3.705217971336655,69.6315114121104,125.70240027605222,117.00688330536806
JBHI35,EEG_TDCA,1.6,S01,35,210,0.8095238095238095,5.129283016944966,3.457775924464035,4.548617668411059,True,4.393496982989181,98.79359784182957,129.96050481174453,125.5284852282623
JBHI35,EEG_TDCA,1.6,S03,35,210,0.7047619047619048,5.129283016944966,2.751878324038605,4.295058848562062,True,4.065370679932688,78.62509497253156,122.7159671017732,116.15344799807679
JBHI35,EEG_TDCA,1.6,S04,35,210,0.9047619047619048,5.129283016944966,4.191046407162751,4.856204621399983,True,4.776172418805612,119.74418306179287,138.74870346857094,136.46206910873178
JBHI35,EEG_TDCA,1.6,S05,35,210,0.17142857142857143,5.129283016944966,0.25299432762190577,2.959468522265733,True,2.7203248384413583,7.228409360625879,84.55624349330665,77.72356681261023
JBHI35,EEG_TDCA,1.6,S06,35,210,0.6476190476190476,5.129283016944966,2.400381524107717,4.051753195789533,True,3.8230163562460637,68.58232926022049,115.76437702255807,109.22903874988752
JBHI35,EEG_TDCA,1.8,S01,35,210,0.8380952380952381,5.129283016944966,3.666751617755817,4.65116893612918,True,4.51504835172885,95.65439002841262,121.33484181206556,117.78387004510044
JBHI35,EEG_TDCA,1.8,S03,35,210,0.719047619047619,5.129283016944966,2.843202965548679,4.28681064633829,True,4.099545592224023,74.17051214474816,111.82984294795538,106.94466762323539
JBHI35,EEG_TDCA,1.8,S04,35,210,0.9142857142857143,5.129283016944966,4.27121425652607,4.885677682645172,True,4.820691878681355,111.42298060502793,127.4524612863958,125.75717944386145
JBHI35,EEG_TDCA,1.8,S05,35,210,0.19047619047619047,5.129283016944966,0.30839416559477684,2.9892913875320035,True,2.75034779908041,8.045065189428962,77.98151445735662,71.74820345427158
JBHI35,EEG_TDCA,1.8,S06,35,210,0.6761904761904762,5.129283016944966,2.5734379324677246,4.142061979586675,True,3.9275240196668553,67.13316345567978,108.05379077182631,102.45714833913536
JBHI35,EEG_TDCA,2.0,S01,35,210,0.8,5.129283016944966,3.389862353807536,4.528561881215567,True,4.377654693323189,81.35669649138086,108.68548514917362,105.06371263975653
JBHI35,EEG_TDCA,2.0,S03,35,210,0.7047619047619048,5.129283016944966,2.751878324038605,4.273803708560343,True,4.069746771127056,66.04507977692651,102.57128900544822,97.67392250704934
JBHI35,EEG_TDCA,2.0,S04,35,210,0.9095238095238095,5.129283016944966,4.230931475119319,4.88924691188815,True,4.810383321365258,101.54235540286365,117.34192588531559,115.44919971276619
JBHI35,EEG_TDCA,2.0,S05,35,210,0.21428571428571427,5.129283016944966,0.38239552727450565,2.9772127131023987,True,2.752918297786518,9.177492654588136,71.45310511445757,66.07003914687643
